"sbnk_code","sbnk_bbranch_code","sbnk_area_code","sbnk_name","sbnk_bbranch_name","sbnk_short_name","sbnk_acc_no","sbnk_siscon_code","sbnk_branch_code","sbnk_state_code","sbnk_account_type","sbnk_highval_flg","sbnk_overdraft_flg","sbnk_overdraft_limit","sbnk_current_bal","sbnk_acc_code","sbnk_deleted_flg","sbnk_ts_created","sbnk_created_by","sbnk_ts_edited","sbnk_edited_by","sbnk_parent_bank","sbnk_parent_branch","sbnk_online_issue","sbnk_online_receipt","sbnk_blocked_flg","sbnk_cust_code"
b48,b48,a1,STANDARD CHARTERED BANK C/F A/C,Mumbai,SCB,"22205547334","23","25","03",,N,N,0,0,A6100,N,2017-01-02 12:29:33.000,"0010",,,,,,N,,
b50,b50,,HDFC Bank,Bangalore,HDFC,"5092320003190","28","30","03",,N,N,0,0,A6017,N,2017-06-08 11:42:00.000,"0010",,,"240","002",,N,,
b51,b51,,State Bank of India,K R Road,SBI_DLT,"35858731366","24","26","03",,N,N,0,0,A6096,N,2017-06-21 12:25:57.000,"0010",,,,,,N,,
b52,b52,,Kotak Mahindra Bank,NKC Branch,KTM_DLT,"9512352195","24","26","03",,N,N,0,0,A6097,N,2017-06-21 12:27:08.000,"0010",,,,,,N,,
b53,b53,,STANDARD CHARTERED BANK C/F A/C,Mumbai,SCB,"22205547334","24","26","03",,N,N,0,0,A6100,N,2017-06-21 12:28:24.000,"0010",,,,,,N,,
b25,b25,a1,State Bank of India,Kolhapur,SBI-Kolh,"32248339307","17","19","01",,N,N,0,0,A6039,N,2012-03-28 11:09:10.000,"0010",,,"002","000",,N,,
b26,b26,a1,State Bank of India,Aurangabad,SBI-Aur,"32232640519","18","20","01",,N,N,0,0,A6038,N,2012-03-28 11:10:14.000,"0010",,,"002","000",,N,,
b27,b27,a1,State Bank of India,Pune,SBI-Pune,"32228467800","19","21","01",,N,N,0,0,A6037,N,2012-03-28 11:10:57.000,"0010",,,"002","000",,N,,
b36,b36,a1,State Bank of India,Vijayawada,SBI_VIJ,,"21","23","40",,N,N,0,0,A6022,Y,2015-03-20 10:37:04.000,"0010",,,"002","000",,N,,
b38,b38,a1,CENTRAL BANK OF INDIA - 3135032608,Peddar Road,CBI,"123","22","24","01",,N,N,0,0,A6082,N,2015-06-24 10:11:03.000,"0010",,,,,,N,,
b39,b39,a1,HDFC Bank Ltd,Sandoz House,HDFC,,"22","24","01",,N,N,0,0,A6083,N,2015-06-24 10:23:19.000,"0010",,,,,,N,,
b40,b40,a1,HDFC BANK EURO A/C. NO. 50200001390406,Sandoz House,HDFC,,"22","24","01",,N,N,0,0,A6084,N,2015-06-24 10:24:05.000,"0010",,,,,,N,,
b41,b41,a1,HDFC BANK DOLLAR A/C. NO. 50200001390395,Sandoz House,HDFC-D,,"22","24","01",,N,N,0,0,A6085,N,2015-06-24 10:24:54.000,"0010",,,,,,N,,
b42,b42,a1,Central Bank Of India -1178100244,Peddar Road,CBI,"01600/020047","22","24","01",,N,N,0,0,A6086,N,2015-06-24 10:26:19.000,"0010",,,,,,N,,
b24,b24,a1,HDFC Bank (Jaipur),Jaipur,HDFC-Jai,,"16","18",,,N,N,0,0,A6035,N,2010-09-21 12:01:45.000,"0010",,,"240","002",,N,,
b35,b35,a1,State Bank of India,Jabalpur,SBI_JBP,,"20","22","09",,N,N,0,0,A6056,N,2015-01-21 11:36:58.000,"0010",,,"002","000",,N,,
b43,b43,a1,HDFC Bank,"Crawford MKT,Mumbai-400001",HDFC,"50200013903385","99","99","01",,N,N,0,0,A6093,N,2015-12-05 16:56:21.000,"0010",,,"240","002",,Y,,
b01,br1,a1,State Bank of India,Comm.Branch,SBI.Comm,"123","01","03","01",,N,N,0,4000,A6056,N,2004-08-24 16:36:38.000,"0010",,,"002","000",,N,,
b02,br2,a1,State Bank of India,BARODA,SBI.Comm,,"02","04","01",,Y,Y,0,0,A6068,N,2004-09-11 14:49:00.000,"0010",,,"002","000",,N,,
b03,br3,a1,HDFC Bank (Kareli Baug),Kareli Baug,HDFC,,"02","04","04",,N,N,0,0,A6070,N,2004-09-14 15:24:19.000,"0010",,,"240","002",,N,,
b04,br4,a1,Syndicate Bank,Kalbadevi Br,SYN.KAL,,"02","04","01",,N,N,0,9,A6051,N,2005-03-30 16:16:47.000,"0010",,,,,,N,,
b05,br2,a1,State Bank of India,BARODA,SBI.Comm,,"05","07","01",,Y,Y,0,0,A6068,N,2004-09-11 14:49:00.000,"0010",,,"002","000",,N,,
b06,br3,a1,HDFC Bank (Kareli Baug),Kareli Baug,HDFC,,"05","07","04",,N,N,0,0,A6070,N,2004-09-14 15:24:19.000,"0010",,,"240","002",,N,,
b07,br4,a1,Syndicate Bank,Kalbadevi Br,SYN.KAL,,"05","07","01",,N,N,0,9,A6051,N,2005-03-30 16:16:47.000,"0010",,,,,,N,,
b08,br8,a1,State Bank of India,Comm.Branch,SBI.Comm,"11079527343","04","06","01",,Y,Y,0,0,A6056,N,2005-03-31 10:30:12.000,"0010",,,"002","019",Y,N,,
b09,br9,a1,Syndicate Bank,Crawford Mkt.Br,SYN.Craw,,"04","06","01",,N,N,0,0,A6052,N,2005-03-31 11:37:18.000,"0010",,,,,,N,Y,
b10,b10,a1,HDFC Bank,Crawford Mkt.Br,HDFC.,"1432320001964","01","03","01",,N,N,0,0,A6060,N,2005-03-31 11:46:11.000,"0010",,,"240","002",,N,,
b11,b11,a1,HDFC BANK LTD.,Crawford Market,HDFCCMKT,"1432320004798","04","06","01",,Y,N,0,0,A6072,N,2005-04-23 11:45:20.000,"9999",,,"240","002",,N,,
b12,b12,a1,HDFC Bank (Chennai),Chennai Br,HDFC CHN,,"06","08","06",,N,N,0,0,A6073,N,2005-08-04 16:58:54.000,"0010",,,"240","002",,N,,
b13,b13,a1,ICICI Bank Limited,Anna Salai Br,ICICI CH,CHE/010205002922,"04","06","06",,N,,,,A6008,N,2006-02-09 11:49:31.000,"0010",,,,,,N,Y,
b14,b14,a1,HDFC Bank Ltd,Raipur,HDFC-R,"1522320005589","07","09","28",,N,N,0,0,A6009,N,2006-06-01 17:53:28.000,"0010",,,"240","002",,N,,
b15,b15,,HDFC Bank,Indore,HDFC-I,"0362320008322","08","10","09",,,,,,A6010,N,2006-06-19 15:04:10.000,"0010",,,"240","002",,N,,
b16,b16,a1,HDFC Bank 240 (NSC),HDFC Bank 240 (NSC),HDFC-NSC,"1472320000240","05","07","04",,N,N,0,0,A6011,N,2006-06-22 11:14:41.000,"0010",,,"240","002",,N,,
cs,cs,a1,Cash,,cash,,"04","06",,,,,,,A6001,Y,2006-12-16 15:40:54.000,"0010",,,,,,N,,
b17,b17,a1,HDFC Bank (Hyd),Hyderabad,HDFC-HYD,"4722320000097","09","11","07",,,,,,A6013,N,2006-12-22 12:08:53.000,"0010",,,"240","002",,N,,
b18,b18,a1,HDFC Bnk (Kolkatta),Kolkatta,HDFC-Kta,"0082320018313","10","12","10",,,,,,A6015,N,2007-07-17 14:56:20.000,"0010",,,"240","002",,N,,
b19,b19,,HDFC Bank (Bangalore),Bangalore,HDFC-BNG,"5092320003190","11","13",,,N,N,0,0,A6017,N,2007-09-26 12:41:52.000,"0010",,,"240","002",,N,,
cb,cb,a1,Cash,Cash,Cash,,"05","07","04",,,,,,A6001,N,2008-05-03 11:58:28.000,"0010",,,,,,N,,
cbr,cbr,a1,Cash,Cash,Cash,,"07","09",,,,,,,A6001,Y,2008-05-08 10:02:46.000,"0010",,,,,,N,,
cbi,cbi,a1,Cash,Cash,Cash,,"08","10",,,,,,,A6001,Y,2008-05-08 10:03:00.000,"0010",,,,,,N,,
b20,b20,a1,HDFC Bank (Delhi),Delhi,HDFC-Del,,"13","15",,,,,,,A6027,N,2010-01-08 11:11:27.000,"0010",,,"240","002",,N,,
b21,b21,a1,State Bank of India(Delhi),Delhi,SBI-Del,,"13","15",,,,,,,A6028,N,2010-01-08 11:12:12.000,"0010",,,"002","000",,N,,
b22,b22,a1,State Bank of India(Kolkatta),Kolkatta,SBI-Kkta,,"10","12",,,,,,,A6024,N,2010-01-08 11:49:34.000,"0010",,,"002","000",,N,,
b23,b23,a1,HDFC Bank (Bhubaneshwar,Bubhaneshwar,HDFC-Bhu,,"15","17",,,N,N,0,0,A6029,N,2010-03-10 15:17:49.000,"0010",,,"240","002",,N,,
b29,b29,a1,State Bank of India,Chennai,SBI-CHN,,"06","08","05",,N,N,0,0,A6022,N,2013-06-12 09:38:08.000,"0010",,,"002","000",,N,,
b30,b30,a1,State Bank of India,Bangalore,SBI-BGLR,,"11","13","03",,N,N,0,0,A6022,N,2013-06-12 09:39:05.000,"0010",,,"002","000",,N,,
b31,b31,a1,State Bank of India,Raipur,SBI-RPR,,"07","09","28",,N,N,0,0,A6022,Y,2013-06-12 09:40:18.000,"0010",,,"002","000",,N,,
b32,b32,a1,State Bank of India,Bhubaneswar,SBI-BHU,,"15","17","18",,N,N,0,0,A6022,Y,2013-06-12 09:42:45.000,"0010",,,"002","000",,N,,
b33,b33,a1,State Bank of India,Jaipur,SBI-JP,,"16","18","08",,N,N,0,0,A6022,Y,2013-09-17 15:32:58.000,"0010",,,"002","000",,N,,
b28,b28,a1,State Bank of India,Indore,SBI-Indr,,"08","10","01",,N,N,0,0,A6042,N,2013-05-17 12:34:34.000,"0010",,,"002","000",,N,,
